film_id,canonical_title,display_title,release_year,release_month,release_month_num,release_date,primary_genre,secondary_genre,all_genres,sequel_flag,remake_flag,director,lead_actor_1,lead_actor_2,cast_list,writer_list,production_house,actor_rank_score,actor_tier_proxy,director_rank_score,director_tier_proxy,budget_cr,budget_usd,worldwide_gross_cr,worldwide_gross_usd,domestic_gross_cr,domestic_gross_usd,opening_day_cr,opening_weekend_cr,runtime_minutes,imdb_id,imdb_rating,content_score_clarity,content_score_novelty,content_score_execution,content_score_originality,content_score_structure,content_score_pacing,content_score_engagement,content_score_authenticity,verdict_raw,financial_data_confidence,is_synthetic,source,data_version,last_updated
BOLLY_2010_0042_tum_milo_toh_sahi,Tum Milo Toh Sahi,Tum Milo Toh Sahi,2010,April,4,2010-04-02,Drama,,Comedy | Drama,No,,Kabir Sadanand,Nana Patekar,Dimple Kapadia,Nana Patekar | Dimple Kapadia | Sunil Shetty | Vidya Malvade,Irshad Kamil (lyrics) | Rajen Makhijani (dialogue) | Rajen Makhijani (screenplay) | Rajen Makhijani (story) | Kabir Sadanand (story) | Sameer Siddiqui (dialogue) | Sameer Siddiqui (screenplay),,4.0525,D,1.2486,D,,,3.52,,,,,,,tt1442583,5.7,,,,,,,,,hitFlop=1,Low,,wikipedia,2.0,2026-07-02
BOLLY_2010_0043_jaane_kahan_se_aayi_hai,Jaane Kahan Se Aayi Hai,Jaane Kahan Se Aayi Hai,2010,April,4,2010-04-09,Comedy,,Comedy | Drama | Fantasy,No,,Milap Zaveri,Riteish Deshmukh,Jacqueline Fernandez,Priyanka Chopra | Akshay Kumar | Jacqueline Fernandez | Karan Johar,Sameer (lyrics) | Milap Zaveri (story),Warner Bros. Pictures,,C,,,,,,,,,,,,tt1194232,4.5,,,,,,,,,hitFlop=1,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2010_0044_prince,Prince,Prince,2010,April,4,2010-04-09,Action,,Action | Crime | Drama,No,,Kookie Gulati,Vivek Oberoi,Aruna Shields,Vivek Oberoi | Isaiah | Aruna Shields | Nandana Sen,Shiraz Ahmed (story) | Mayur Puri (dialogue) | Sameer (lyrics),,3.486,D,,,,,,,,,,,,tt1455816,4.5,,,,,,,,,hitFlop=2,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2010_0045_the_japanese_wife,The Japanese Wife,The Japanese Wife,2010,April,4,2010-04-09,Drama,,Drama | Romance,No,,Aparna Sen,Rahul Bose,Raima Sen,Rahul Bose | Chigusa Takaku | Raima Sen | Moushumi Chatterjee,Kunal Basu (based on the story by) | Aparna Sen,,2.3217,D,,,,,,,,,,,,tt1620620,,,,,,,,,,hitFlop=1,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2010_0046_paathshaala,Paathshaala,Paathshaala,2010,April,4,,Drama,,Drama,No,,Milind Ukey,Shahid Kapoor,Nana Patekar,Shahid Kapoor,,Eros International,5.7659,C,2.6208,D,14,,17,,,,,,,,,,,,,,,,,hitFlop=2,High,,wikipedia,2.0,2026-07-02
BOLLY_2010_0047_phoonk_2,Phoonk 2,Phoonk 2,2010,April,4,2010-04-16,Horror,,Drama | Horror | Mystery,No,,Milind Gadagkar,Sudeep,Neeru Bajwa,Sudeep | Amruta Khanvilkar | Ahsaas Channa | Anu Ansari,Milind Gadagkar,,,A,,,8,,9.24,,,,,,,tt1612611,3.1,,,,,,,,,hitFlop=2,High,,wikipedia,2.0,2026-07-02
BOLLY_2010_0048_apartment,Apartment,Apartment,2010,April,4,,Drama,,Drama,No,,Jagmohan Mundhra,Rohit Roy,Tanushree Dutta,Rohit Roy,,,,D,,,,,,,,,,,,,,,,,,,,,,,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2010_0049_city_of_gold,City of Gold,City of Gold,2010,April,4,,Drama,,Drama,No,,Mahesh Manjrekar,Vineet Kumar,Sameer Dharmadhikari,Vineet Kumar,,DAR Motion Pictures,,,1.4664,D,,,,,,,,,,,,,,,,,,,,,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2010_0050_kuchh_kariye,Kuchh Kariye,Kuchh Kariye,2010,,,,Drama,,Drama,No,,Jagbir Dahiya,Sukhwinder Singh,,Sukhwinder Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,Missing/Partial,,wikipedia,2.0,2026-07-02
BOLLY_2010_0051_muskurake_dekh_zara,Muskurake Dekh Zara,Muskurake Dekh Zara,2010,March,3,2010-03-26,Drama,,Comedy | Horror | Romance,No,,Som Shekar,Gashmeer Mahajani,Hiten Paintal,Mukesh Bhatt | Rajshree Choudhary | Arijit Sen Gupta | Om Katare,Anurag Kashyap,,,,,,,,,,,,,,,tt1607600,0.0,,,,,,,,,hitFlop=1,Missing/Partial,,wikipedia,2.0,2026-07-02
